"GTIN";"TPGTIN";"MARCA";"DESCRICAO";"IMGURL";"ORIGEM";"NCM";"CEST";"PESOB";"UNIDPESOB"
"7898973466342";"13";"Moselle Chocolatier";"BARRA 80G CHOCOLATE 45 CACAU AO LEITE SEM ACUCAR SEM LACTOSE";"https://cnp30blob.blob.core.windows.net/cnp3files/e4876f4f733fcbe4194513f24aff3cb9334bff79603c4da941dc79cd57baf855.jpeg";"Brasil";"18063210";"{1700300}";"80.000";"GRM"
"7898718822112";"13";"integral agroindustrial";"BOVIMIX LEITE 22 TAMPONADA 40 KG P";"https://cnp30blob.blob.core.windows.net/cnp3files/c69c3fa353ab25521002709090884b4a63b7ddabbe34bbae41fca8128ea15834.png";"Brasil";"23099010";"{2200100}";"40.000";"KGM"
"7898718822129";"13";"integral agroindustrial";"BOVIMIX LEITE 24 40 KG P";"https://cnp30blob.blob.core.windows.net/cnp3files/8f06a8c3bf92ca3b963d7b3634c6b9704233255cb287392bbc8695d91131125a.png";"Brasil";"23099010";"{2200100}";"40.000";"KGM"
"7898973466465";"13";"Moselle Chocolatier";"EMB CAIXA 80G LASCAS 55 CACAU AO LEITE DE COCO COM AVELA CARAMELIZADA";"https://cnp30blob.blob.core.windows.net/cnp3files/08699adf65bb43cf30da4901d68ec2d827d24bc5ce7c1ef7107b7cc86b6791f8.jpeg";"Brasil";"18063120";"{1700202}";"94.000";"GRM"
"7896513080300";"13";"SCHUCK ÁGUA TÔNICA E LIMÃO";"REFRIGERANTE MISTO SCHUCK ÁGUA TÔNICA E LIMÃO";"https://cnp30blob.blob.core.windows.net/cnp3files/07cfe85853a9e035bfd7e674a6f0da87ce158cfe0b7f8d746d36c35da8ce36d0.jpeg";"Brasil";"22021000";"{0301001}";"0.533";"KGM"
"7896513080317";"13";"SCHUCK LIMÃO";"REFRIGERANTE DE FRUTA SCHUCK LIMÃO";"https://cnp30blob.blob.core.windows.net/cnp3files/91bd907f126aa039a6c6a4e681cbb0add449c716fddfa268ad0e3fa3ca266e39.jpeg";"Brasil";"22021000";"{0301001}";"2.153";"KGM"
"7897395002190";"13";"Tik Tok";"REFRIGERANTE TIK TOK COLA ZERO AÇUCAR LATA 269 MILILITROS PACOTE COM 12 UNIDADES";"https://cnp30blob.blob.core.windows.net/cnp3files/9de4c041c8b2cab7b6276dc859685cba3e949b8b54ed153038f5515f9d01bb40.png";"Brasil";"22021000";"{0301002}";"3.450";"KGM"
"7896445491250";"13";"Indaiá";"REFRIGERANTE GUARANA ZERO GRF 1L INDAIA REFRI";"https://cnp30blob.blob.core.windows.net/cnp3files/463ea49665028c8a778db3b1ab9d910a5280ee928f8f8fb480c8e1aee7d41d4e.jpeg";"Brasil";"22021000";"{0301001}";"1.080";"KGM"
"17896445491257";"14";"Indaiá";"REFRIGERANTE GUARANA ZERO GRF 6X1L INDAIA REFRI";"https://cnp30blob.blob.core.windows.net/cnp3files/733dc8d57d0195a50b5fa7c03e51981b20ecfe469964b66cc17195fe4453fe76.jpeg";"Brasil";"22021000";"{0301001}";"6.500";"KGM"
"7898639940858";"13";"";"Jogos de lençois enxovais para cama";"https://cnp30blob.blob.core.windows.net/cnp3files/bac7545e32fc953c4fa1c24fe08118d9bf4fc85d5c7512506e97d81846e0bef1.jpeg";"Brasil";"63021000";"{2806100}";"1.000";"GRM"
"7898639940841";"13";"";"Jogos de lençois enxovais para cama";"https://cnp30blob.blob.core.windows.net/cnp3files/bac7545e32fc953c4fa1c24fe08118d9bf4fc85d5c7512506e97d81846e0bef1.jpeg";"Brasil";"63021000";"{2806100}";"1.000";"GRM"
